room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,european_city,weekday_or_weekend,cost per night cad,attr_index,rest_index
Private room,2,False,1,0,9,98,1,1.9796464,0.73506337,2.1657,41.40467,Barcelona,weekend,397.051225386,475.8142115,693.2007539
Entire home/apt,6,False,0,1,8,40,2,3.3415799,0.11894871,2.175,41.417,Barcelona,weekend,667.358670581,282.7709248,415.5855945
Entire home/apt,2,False,0,1,10,100,2,4.2512717,0.71733958,2.14957,41.4222,Barcelona,weekend,591.414341214,251.5565994,329.0209744
Entire home/apt,5,False,0,1,9,76,3,3.3918865,0.16304967,2.17439,41.41751,Barcelona,weekend,642.213791965,277.7119916,408.0717378
Entire home/apt,4,False,0,1,8,64,2,3.3415642,0.11894031,2.175,41.417,Barcelona,weekend,1182.65878471,282.7725389,415.5876975
Entire home/apt,6,False,0,1,10,90,6,5.8073211,0.88300771,2.19006,41.43722,Barcelona,weekend,3261.01892184,139.4364261,250.6316321
Entire home/apt,4,False,0,1,9,81,1,2.4404385,0.3377544,2.185,41.406,Barcelona,weekend,419.137943107,375.9426585,538.600101
Private room,2,False,0,1,10,94,1,4.5466094,0.3434087,2.216,41.409,Barcelona,weekend,472.995554753,169.1826986,371.7494396
Private room,2,False,0,1,10,96,1,4.5466166,0.34340256,2.216,41.409,Barcelona,weekend,405.37621897,169.182882,371.754612
Private room,2,False,0,1,10,97,1,4.5466447,0.34338707,2.216,41.409,Barcelona,weekend,405.37621897,169.1830597,371.7751088
Private room,2,False,0,1,10,97,1,4.4883609,0.4519082,2.216,41.408,Barcelona,weekend,405.37621897,167.2837312,354.8188731
Private room,2,False,0,1,10,91,1,4.4883571,0.45190647,2.216,41.408,Barcelona,weekend,405.37621897,167.2839058,354.8182578
Entire home/apt,6,False,0,1,9,85,2,3.9028826,0.93892145,2.20983,41.40549,Barcelona,weekend,598.210254387,188.6986267,377.5286101
